[2026-04-16T08:20:06.513736] Redirecting stdout/stderr to: logs/seq_128_batch_size_ablation/lstm_logs.txt
No tokenizer path provided, training will create a new tokenizer from the training text
Usage: python train_causal_ldru.py --tokenizer_path <path_to_tokenizer_file>
Example: python train_causal_ldru.py --tokenizer_path /path/to/your/tokenizer.model
Training with text file: ptb_train.txt
Using validation text file: ptb_val.txt
Using test text file for model testing: ptb_test.txt
Creating dataset from text file...
Using SPTokenizer for subword tokenization.
Tokenizer model will be saved to: tokenizers/ptb_tokenizer_vocab1000_seq128_for_lstm_seq128_model_lstm_seq2seq_silu_default_128_SP.model
Tokenizer vocab size: 1000
Creating training dataset from text file...
Loading text from: ptb_train.txt
Tokenizing text...
Total tokens: 1,735,164
Created 27,110 sequences of length 128
Each sequence: [context tokens (length 127)] -> [target token]
All sequences used for dataset: 27,110
\nSample sequence: 'and the ec  ⁇ unk ⁇  capital movements since then the government has left observers wondering if it ...'
Creating validation dataset from text file...
Loading text from: ptb_val.txt
Tokenizing text...
Total tokens: 135,593
Created 2,117 sequences of length 128
Each sequence: [context tokens (length 127)] -> [target token]
All sequences used for dataset: 2,117
Validation sequences: 2,117
Creating test dataset from text file...
Loading text from: ptb_test.txt
Tokenizing text...
Total tokens: 154,133
Created 2,407 sequences of length 128
Each sequence: [context tokens (length 127)] -> [target token]
All sequences used for dataset: 2,407
Test sequences: 2,407
Created evaluation model with dropout disabled
Initializing model...
Checkpoints will be saved to: checkpoints
Model has 1,322,200 parameters
Initial learning rate: 1.00e-03
Starting training...

Epoch 1/100

Training: 0it [00:00, ?it/s]
Training: 0it [16:49, ?it/s, Loss=6.9160, Acc=0.0000, PPL=1008.3, LR=1.00e-03]
Training: 1it [16:49, 1009.62s/it, Loss=6.9160, Acc=0.0000, PPL=1008.3, LR=1.00e-03]
Training: 1it [16:49, 1009.62s/it, Loss=6.8915, Acc=0.0312, PPL=984.2, LR=1.00e-03] 
Training: 1it [16:49, 1009.62s/it, Loss=6.8568, Acc=0.0208, PPL=951.7, LR=1.00e-03]
Training: 1it [16:49, 1009.62s/it, Loss=6.8039, Acc=0.0469, PPL=906.0, LR=1.00e-03]
Training: 1it [16:49, 1009.62s/it, Loss=6.7353, Acc=0.1000, PPL=852.7, LR=1.00e-03]
Training: 1it [16:49, 1009.62s/it, Loss=6.6983, Acc=0.1458, PPL=823.0, LR=1.00e-03]
Training: 1it [16:49, 1009.62s/it, Loss=6.6302, Acc=0.1696, PPL=777.3, LR=1.00e-03]
Training: 1it [16:49, 1009.62s/it, Loss=6.5702, Acc=0.1484, PPL=738.8, LR=1.00e-03]
Training: 1it [16:49, 1009.62s/it, Loss=6.5127, Acc=0.1458, PPL=703.9, LR=1.00e-03]
Training: 1it [16:49, 1009.62s/it, Loss=6.4664, Acc=0.1562, PPL=675.9, LR=1.00e-03]
Training: 10it [16:49, 72.87s/it, Loss=6.4664, Acc=0.1562, PPL=675.9, LR=1.00e-03] 
Training: 10it [16:49, 72.87s/it, Loss=6.4289, Acc=0.1534, PPL=653.2, LR=1.00e-03]
Training: 10it [16:49, 72.87s/it, Loss=6.3659, Acc=0.1510, PPL=623.0, LR=1.00e-03]
Training: 10it [16:49, 72.87s/it, Loss=6.2959, Acc=0.1442, PPL=593.1, LR=1.00e-03]
Training: 10it [16:49, 72.87s/it, Loss=6.2537, Acc=0.1384, PPL=572.2, LR=1.00e-03]
Training: 10it [16:49, 72.87s/it, Loss=6.2071, Acc=0.1417, PPL=551.3, LR=1.00e-03]
Training: 10it [16:49, 72.87s/it, Loss=6.1608, Acc=0.1406, PPL=531.6, LR=1.00e-03]
Training: 10it [16:49, 72.87s/it, Loss=6.1262, Acc=0.1324, PPL=515.8, LR=1.00e-03]
Training: 10it [16:49, 72.87s/it, Loss=6.0890, Acc=0.1354, PPL=500.2, LR=1.00e-03]
Training: 10it [16:49, 72.87s/it, Loss=6.0576, Acc=0.1414, PPL=486.6, LR=1.00e-03]
Training: 10it [16:49, 72.87s/it, Loss=6.0326, Acc=0.1375, PPL=475.2, LR=1.00e-03]
Training: 20it [16:49, 29.48s/it, Loss=6.0326, Acc=0.1375, PPL=475.2, LR=1.00e-03]
Training: 20it [16:49, 29.48s/it, Loss=6.0121, Acc=0.1429, PPL=465.5, LR=1.00e-03]
Training: 20it [16:49, 29.48s/it, Loss=5.9820, Acc=0.1392, PPL=453.9, LR=1.00e-03]
Training: 20it [16:49, 29.48s/it, Loss=5.9570, Acc=0.1386, PPL=443.9, LR=1.00e-03]
Training: 20it [16:49, 29.48s/it, Loss=5.9302, Acc=0.1432, PPL=433.9, LR=1.00e-03]
Training: 20it [16:49, 29.48s/it, Loss=5.9153, Acc=0.1400, PPL=426.9, LR=1.00e-03]
Training: 20it [16:49, 29.48s/it, Loss=5.8907, Acc=0.1394, PPL=418.0, LR=1.00e-03]
Training: 20it [16:49, 29.48s/it, Loss=5.8712, Acc=0.1343, PPL=410.4, LR=1.00e-03]
Training: 20it [16:49, 29.48s/it, Loss=5.8532, Acc=0.1295, PPL=403.4, LR=1.00e-03]
Training: 20it [16:49, 29.48s/it, Loss=5.8398, Acc=0.1293, PPL=397.6, LR=1.00e-03]
Training: 20it [16:49, 29.48s/it, Loss=5.8252, Acc=0.1271, PPL=391.8, LR=1.00e-03]
Training: 30it [16:49, 15.93s/it, Loss=5.8252, Acc=0.1271, PPL=391.8, LR=1.00e-03]
Training: 30it [16:49, 15.93s/it, Loss=5.8157, Acc=0.1250, PPL=387.3, LR=1.00e-03]
Training: 30it [16:49, 15.93s/it, Loss=5.8004, Acc=0.1289, PPL=381.6, LR=1.00e-03]
Training: 30it [16:49, 15.93s/it, Loss=5.7861, Acc=0.1288, PPL=376.3, LR=1.00e-03]
Training: 30it [16:49, 15.93s/it, Loss=5.7737, Acc=0.1324, PPL=371.5, LR=1.00e-03]
Training: 30it [16:50, 15.93s/it, Loss=5.7594, Acc=0.1321, PPL=366.5, LR=1.00e-03]
Training: 30it [16:50, 15.93s/it, Loss=5.7480, Acc=0.1302, PPL=362.1, LR=1.00e-03]
Training: 30it [16:50, 15.93s/it, Loss=5.7387, Acc=0.1334, PPL=358.4, LR=1.00e-03]
Training: 30it [16:50, 15.93s/it, Loss=5.7219, Acc=0.1349, PPL=353.2, LR=1.00e-03]
Training: 30it [16:50, 15.93s/it, Loss=5.7145, Acc=0.1314, PPL=350.1, LR=1.00e-03]
Training: 39it [16:50, 10.02s/it, Loss=5.7145, Acc=0.1314, PPL=350.1, LR=1.00e-03]
Training: 39it [16:50, 10.02s/it, Loss=5.7032, Acc=0.1344, PPL=346.1, LR=1.00e-03]
Training: 39it [16:50, 10.02s/it, Loss=5.6963, Acc=0.1341, PPL=343.2, LR=1.00e-03]
Training: 39it [16:50, 10.02s/it, Loss=5.6809, Acc=0.1369, PPL=338.7, LR=1.00e-03]
Training: 39it [16:50, 10.02s/it, Loss=5.6748, Acc=0.1352, PPL=336.1, LR=1.00e-03]
Training: 39it [16:50, 10.02s/it, Loss=5.6622, Acc=0.1364, PPL=332.3, LR=1.00e-03]
Training: 39it [16:50, 10.02s/it, Loss=5.6474, Acc=0.1375, PPL=328.2, LR=1.00e-03]
Training: 39it [16:50, 10.02s/it, Loss=5.6426, Acc=0.1359, PPL=326.0, LR=1.00e-03]
Training: 39it [16:50, 10.02s/it, Loss=5.6361, Acc=0.1383, PPL=323.5, LR=1.00e-03]
Training: 39it [16:50, 10.02s/it, Loss=5.6249, Acc=0.1406, PPL=320.1, LR=1.00e-03]
Training: 48it [16:50,  6.55s/it, Loss=5.6249, Acc=0.1406, PPL=320.1, LR=1.00e-03]
Training: 48it [16:50,  6.55s/it, Loss=5.6189, Acc=0.1403, PPL=317.8, LR=1.00e-03]
Training: 48it [16:50,  6.55s/it, Loss=5.6130, Acc=0.1425, PPL=315.6, LR=1.00e-03]
Training: 48it [16:50,  6.55s/it, Loss=5.6102, Acc=0.1397, PPL=314.0, LR=1.00e-03]
Training: 48it [16:50,  6.55s/it, Loss=5.6084, Acc=0.1382, PPL=312.8, LR=1.00e-03]
Training: 48it [16:50,  6.55s/it, Loss=5.5982, Acc=0.1415, PPL=309.9, LR=1.00e-03]
Training: 48it [16:50,  6.55s/it, Loss=5.5981, Acc=0.1412, PPL=309.1, LR=1.00e-03]
Training: 48it [16:50,  6.55s/it, Loss=5.5952, Acc=0.1432, PPL=307.7, LR=1.00e-03]
Training: 48it [16:50,  6.55s/it, Loss=5.5868, Acc=0.1462, PPL=305.2, LR=1.00e-03]
Training: 48it [16:50,  6.55s/it, Loss=5.5788, Acc=0.1447, PPL=302.8, LR=1.00e-03]
Training: 57it [16:50,  4.38s/it, Loss=5.5788, Acc=0.1447, PPL=302.8, LR=1.00e-03]
Training: 57it [16:50,  4.38s/it, Loss=5.5729, Acc=0.1433, PPL=300.8, LR=1.00e-03]
Training: 57it [16:50,  4.38s/it, Loss=5.5642, Acc=0.1441, PPL=298.4, LR=1.00e-03]
Training: 57it [16:50,  4.38s/it, Loss=5.5609, Acc=0.1448, PPL=297.0, LR=1.00e-03]
Training: 57it [16:50,  4.38s/it, Loss=5.5587, Acc=0.1445, PPL=295.8, LR=1.00e-03]
Training: 57it [16:50,  4.38s/it, Loss=5.5566, Acc=0.1442, PPL=294.7, LR=1.00e-03]
Training: 57it [16:50,  4.38s/it, Loss=5.5496, Acc=0.1468, PPL=292.7, LR=1.00e-03]
Training: 57it [16:50,  4.38s/it, Loss=5.5446, Acc=0.1465, PPL=291.1, LR=1.00e-03]
Training: 57it [16:50,  4.38s/it, Loss=5.5380, Acc=0.1452, PPL=289.1, LR=1.00e-03]
Training: 57it [16:50,  4.38s/it, Loss=5.5290, Acc=0.1449, PPL=286.9, LR=1.00e-03]
Training: 57it [16:50,  4.38s/it, Loss=5.5239, Acc=0.1446, PPL=285.3, LR=1.00e-03]
Training: 67it [16:50,  2.88s/it, Loss=5.5239, Acc=0.1446, PPL=285.3, LR=1.00e-03]
Training: 67it [16:50,  2.88s/it, Loss=5.5181, Acc=0.1471, PPL=283.6, LR=1.00e-03]
Training: 67it [16:50,  2.88s/it, Loss=5.5140, Acc=0.1495, PPL=282.2, LR=1.00e-03]
Training: 67it [16:50,  2.88s/it, Loss=5.5105, Acc=0.1527, PPL=280.9, LR=1.00e-03]
Training: 67it [16:50,  2.88s/it, Loss=5.5042, Acc=0.1549, PPL=279.2, LR=1.00e-03]
Training: 67it [16:50,  2.88s/it, Loss=5.4947, Acc=0.1536, PPL=277.0, LR=1.00e-03]
Training: 67it [16:50,  2.88s/it, Loss=5.4903, Acc=0.1515, PPL=275.7, LR=1.00e-03]
Training: 67it [16:50,  2.88s/it, Loss=5.4843, Acc=0.1520, PPL=274.0, LR=1.00e-03]
Training: 67it [16:50,  2.88s/it, Loss=5.4793, Acc=0.1525, PPL=272.6, LR=1.00e-03]
Training: 67it [16:50,  2.88s/it, Loss=5.4712, Acc=0.1530, PPL=270.7, LR=1.00e-03]
Training: 67it [16:50,  2.88s/it, Loss=5.4648, Acc=0.1558, PPL=269.1, LR=1.00e-03]
Training: 77it [16:50,  1.93s/it, Loss=5.4648, Acc=0.1558, PPL=269.1, LR=1.00e-03]
Training: 77it [16:50,  1.93s/it, Loss=5.4593, Acc=0.1546, PPL=267.6, LR=1.00e-03]
Training: 77it [16:50,  1.93s/it, Loss=5.4553, Acc=0.1535, PPL=266.4, LR=1.00e-03]
Training: 77it [16:50,  1.93s/it, Loss=5.4531, Acc=0.1539, PPL=265.5, LR=1.00e-03]
Training: 77it [16:50,  1.93s/it, Loss=5.4472, Acc=0.1520, PPL=264.0, LR=1.00e-03]
Training: 77it [16:50,  1.93s/it, Loss=5.4398, Acc=0.1540, PPL=262.3, LR=1.00e-03]
Training: 77it [16:50,  1.93s/it, Loss=5.4317, Acc=0.1559, PPL=260.6, LR=1.00e-03]
Training: 77it [16:50,  1.93s/it, Loss=5.4273, Acc=0.1562, PPL=259.4, LR=1.00e-03]
Training: 77it [16:50,  1.93s/it, Loss=5.4223, Acc=0.1566, PPL=258.1, LR=1.00e-03]
Training: 77it [16:50,  1.93s/it, Loss=5.4185, Acc=0.1577, PPL=257.0, LR=1.00e-03]
Training: 77it [16:50,  1.93s/it, Loss=5.4120, Acc=0.1588, PPL=255.5, LR=1.00e-03]
Training: 87it [16:50,  1.32s/it, Loss=5.4120, Acc=0.1588, PPL=255.5, LR=1.00e-03]
Training: 87it [16:50,  1.32s/it, Loss=5.4084, Acc=0.1577, PPL=254.4, LR=1.00e-03]
Training: 87it [16:50,  1.32s/it, Loss=5.4041, Acc=0.1587, PPL=253.3, LR=1.00e-03]
Training: 87it [16:50,  1.32s/it, Loss=5.4007, Acc=0.1576, PPL=252.3, LR=1.00e-03]
Training: 87it [16:50,  1.32s/it, Loss=5.3960, Acc=0.1573, PPL=251.1, LR=1.00e-03]
Training: 87it [16:50,  1.32s/it, Loss=5.3896, Acc=0.1576, PPL=249.7, LR=1.00e-03]
