[2026-04-16T08:44:42.830166] Redirecting stdout/stderr to: logs/seq_256_batch_size_ablation/ldru_logs_2.txt
No tokenizer path provided, training will create a new tokenizer from the training text
Usage: python train_causal_ldru.py --tokenizer_path <path_to_tokenizer_file>
Example: python train_causal_ldru.py --tokenizer_path /path/to/your/tokenizer.model
Training with text file: ptb_train.txt
Using validation text file: ptb_val.txt
Using test text file for model testing: ptb_test.txt
Creating dataset from text file...
Using SPTokenizer for subword tokenization.
Tokenizer model will be saved to: tokenizers/ptb_tokenizer_vocab1000_seq256_for_ldru_seq256_2_model_ldru_seq2seq_silu_default_256_SP.model
Tokenizer vocab size: 1000
Creating training dataset from text file...
Loading text from: ptb_train.txt
Tokenizing text...
Total tokens: 1,735,164
Created 13,554 sequences of length 256
Each sequence: [context tokens (length 255)] -> [target token]
All sequences used for dataset: 13,554
\nSample sequence: 'john lehman 's editorial-page article on the pentagon as a  ⁇ unk ⁇  house  ⁇ unk ⁇  the real roots ...'
Creating validation dataset from text file...
Loading text from: ptb_val.txt
Tokenizing text...
Total tokens: 135,593
Created 1,058 sequences of length 256
Each sequence: [context tokens (length 255)] -> [target token]
All sequences used for dataset: 1,058
Validation sequences: 1,058
Creating test dataset from text file...
Loading text from: ptb_test.txt
Tokenizing text...
Total tokens: 154,133
Created 1,203 sequences of length 256
Each sequence: [context tokens (length 255)] -> [target token]
All sequences used for dataset: 1,203
Test sequences: 1,203
Created evaluation model with dropout disabled
Initializing model...
Checkpoints will be saved to: checkpoints
Model has 4,630,600 parameters
Initial learning rate: 1.00e-03
Starting training...

Epoch 1/100

Training: 0it [00:00, ?it/s]
Training: 0it [02:21, ?it/s, Loss=6.9396, Acc=0.0005, PPL=1032.4, LR=1.00e-03]
Training: 1it [02:21, 141.71s/it, Loss=6.9396, Acc=0.0005, PPL=1032.4, LR=1.00e-03]
Training: 1it [02:21, 141.71s/it, Loss=6.9145, Acc=0.0069, PPL=1007.1, LR=1.00e-03]
Training: 1it [02:21, 141.71s/it, Loss=6.8934, Acc=0.0145, PPL=986.4, LR=1.00e-03] 
Training: 1it [02:21, 141.71s/it, Loss=6.8781, Acc=0.0200, PPL=971.6, LR=1.00e-03]
Training: 1it [02:21, 141.71s/it, Loss=6.8593, Acc=0.0269, PPL=954.0, LR=1.00e-03]
Training: 1it [02:21, 141.71s/it, Loss=6.8225, Acc=0.0316, PPL=922.4, LR=1.00e-03]
Training: 1it [02:21, 141.71s/it, Loss=6.7841, Acc=0.0293, PPL=890.8, LR=1.00e-03]
Training: 7it [02:21, 14.82s/it, Loss=6.7841, Acc=0.0293, PPL=890.8, LR=1.00e-03] 
Training: 7it [02:21, 14.82s/it, Loss=6.7256, Acc=0.0322, PPL=848.7, LR=1.00e-03]
Training: 7it [02:21, 14.82s/it, Loss=6.6523, Acc=0.0355, PPL=802.2, LR=1.00e-03]
Training: 7it [02:21, 14.82s/it, Loss=6.5791, Acc=0.0380, PPL=759.3, LR=1.00e-03]
Training: 7it [02:21, 14.82s/it, Loss=6.5216, Acc=0.0393, PPL=725.0, LR=1.00e-03]
Training: 7it [02:21, 14.82s/it, Loss=6.4716, Acc=0.0400, PPL=695.7, LR=1.00e-03]
Training: 7it [02:21, 14.82s/it, Loss=6.4221, Acc=0.0413, PPL=668.3, LR=1.00e-03]
Training: 7it [02:21, 14.82s/it, Loss=6.3840, Acc=0.0423, PPL=646.3, LR=1.00e-03]
Training: 14it [02:21,  5.96s/it, Loss=6.3840, Acc=0.0423, PPL=646.3, LR=1.00e-03]
Training: 14it [02:21,  5.96s/it, Loss=6.3402, Acc=0.0442, PPL=623.7, LR=1.00e-03]
Training: 14it [02:21,  5.96s/it, Loss=6.3128, Acc=0.0442, PPL=607.6, LR=1.00e-03]
Training: 14it [02:21,  5.96s/it, Loss=6.2870, Acc=0.0447, PPL=592.8, LR=1.00e-03]
Training: 14it [02:21,  5.96s/it, Loss=6.2645, Acc=0.0452, PPL=579.8, LR=1.00e-03]
Training: 14it [02:22,  5.96s/it, Loss=6.2416, Acc=0.0460, PPL=567.2, LR=1.00e-03]
Training: 14it [02:22,  5.96s/it, Loss=6.2230, Acc=0.0466, PPL=556.5, LR=1.00e-03]
Training: 14it [02:22,  5.96s/it, Loss=6.2072, Acc=0.0468, PPL=547.2, LR=1.00e-03]
Training: 21it [02:22,  3.22s/it, Loss=6.2072, Acc=0.0468, PPL=547.2, LR=1.00e-03]
Training: 21it [02:22,  3.22s/it, Loss=6.1923, Acc=0.0475, PPL=538.6, LR=1.00e-03]
Training: 21it [02:22,  3.22s/it, Loss=6.1761, Acc=0.0483, PPL=529.9, LR=1.00e-03]
Training: 21it [02:22,  3.22s/it, Loss=6.1613, Acc=0.0488, PPL=521.8, LR=1.00e-03]
Training: 21it [02:22,  3.22s/it, Loss=6.1479, Acc=0.0492, PPL=514.5, LR=1.00e-03]
Training: 21it [02:22,  3.22s/it, Loss=6.1387, Acc=0.0492, PPL=508.9, LR=1.00e-03]
Training: 21it [02:22,  3.22s/it, Loss=6.1281, Acc=0.0499, PPL=502.9, LR=1.00e-03]
Training: 21it [02:22,  3.22s/it, Loss=6.1160, Acc=0.0508, PPL=496.7, LR=1.00e-03]
Training: 28it [02:22,  1.95s/it, Loss=6.1160, Acc=0.0508, PPL=496.7, LR=1.00e-03]
Training: 28it [02:22,  1.95s/it, Loss=6.0965, Acc=0.0528, PPL=488.4, LR=1.00e-03]
Training: 28it [02:22,  1.95s/it, Loss=6.0905, Acc=0.0530, PPL=484.5, LR=1.00e-03]
Training: 28it [02:22,  1.95s/it, Loss=6.0937, Acc=0.0544, PPL=484.6, LR=1.00e-03]
Training: 28it [02:22,  1.95s/it, Loss=6.0909, Acc=0.0558, PPL=482.1, LR=1.00e-03]
Training: 28it [02:22,  1.95s/it, Loss=6.0804, Acc=0.0573, PPL=476.9, LR=1.00e-03]
Training: 28it [02:22,  1.95s/it, Loss=6.0709, Acc=0.0585, PPL=472.2, LR=1.00e-03]
Training: 28it [02:22,  1.95s/it, Loss=6.0594, Acc=0.0600, PPL=467.0, LR=1.00e-03]
Training: 35it [02:22,  1.25s/it, Loss=6.0594, Acc=0.0600, PPL=467.0, LR=1.00e-03]
Training: 35it [02:22,  1.25s/it, Loss=6.0473, Acc=0.0612, PPL=461.7, LR=1.00e-03]
Training: 35it [02:22,  1.25s/it, Loss=6.0325, Acc=0.0630, PPL=455.9, LR=1.00e-03]
Training: 35it [02:22,  1.25s/it, Loss=6.0181, Acc=0.0650, PPL=450.2, LR=1.00e-03]
Training: 35it [02:22,  1.25s/it, Loss=6.0038, Acc=0.0669, PPL=444.7, LR=1.00e-03]
Training: 35it [02:22,  1.25s/it, Loss=5.9947, Acc=0.0678, PPL=440.6, LR=1.00e-03]
Training: 35it [02:22,  1.25s/it, Loss=5.9845, Acc=0.0690, PPL=436.3, LR=1.00e-03]
Training: 35it [02:22,  1.25s/it, Loss=5.9707, Acc=0.0708, PPL=431.2, LR=1.00e-03]
Training: 42it [02:22,  1.21it/s, Loss=5.9707, Acc=0.0708, PPL=431.2, LR=1.00e-03]
Training: 42it [02:22,  1.21it/s, Loss=5.9603, Acc=0.0722, PPL=427.0, LR=1.00e-03]
Training: 42it [02:22,  1.21it/s, Loss=5.9483, Acc=0.0736, PPL=422.5, LR=1.00e-03]
Training: 42it [02:22,  1.21it/s, Loss=5.9329, Acc=0.0756, PPL=417.4, LR=1.00e-03]
Training: 42it [02:22,  1.21it/s, Loss=5.9179, Acc=0.0777, PPL=412.4, LR=1.00e-03]
Training: 42it [02:22,  1.21it/s, Loss=5.9057, Acc=0.0791, PPL=408.1, LR=1.00e-03]
Training: 42it [02:22,  1.21it/s, Loss=5.8975, Acc=0.0800, PPL=404.8, LR=1.00e-03]
Training: 42it [02:22,  1.21it/s, Loss=5.8906, Acc=0.0808, PPL=401.8, LR=1.00e-03]
Training: 49it [02:22,  1.78it/s, Loss=5.8906, Acc=0.0808, PPL=401.8, LR=1.00e-03]
Training: 49it [02:22,  1.78it/s, Loss=5.8852, Acc=0.0813, PPL=399.3, LR=1.00e-03]
Training: 49it [02:22,  1.78it/s, Loss=5.8761, Acc=0.0824, PPL=395.9, LR=1.00e-03]
Training: 49it [02:22,  1.78it/s, Loss=5.8681, Acc=0.0835, PPL=392.8, LR=1.00e-03]
Training: 49it [02:22,  1.78it/s, Loss=5.8583, Acc=0.0848, PPL=389.4, LR=1.00e-03]
Training: 49it [02:22,  1.78it/s, Loss=5.8500, Acc=0.0859, PPL=386.3, LR=1.00e-03]
Training: 49it [02:22,  1.78it/s, Loss=5.8412, Acc=0.0870, PPL=383.2, LR=1.00e-03]
Training: 49it [02:22,  1.78it/s, Loss=5.8326, Acc=0.0881, PPL=380.1, LR=1.00e-03]
Training: 56it [02:22,  2.58it/s, Loss=5.8326, Acc=0.0881, PPL=380.1, LR=1.00e-03]
Training: 56it [02:22,  2.58it/s, Loss=5.8189, Acc=0.0900, PPL=376.2, LR=1.00e-03]
Training: 56it [02:22,  2.58it/s, Loss=5.8107, Acc=0.0911, PPL=373.3, LR=1.00e-03]
Training: 56it [02:22,  2.58it/s, Loss=5.8010, Acc=0.0924, PPL=370.2, LR=1.00e-03]
Training: 56it [02:22,  2.58it/s, Loss=5.7933, Acc=0.0933, PPL=367.5, LR=1.00e-03]
Training: 56it [02:22,  2.58it/s, Loss=5.7844, Acc=0.0944, PPL=364.6, LR=1.00e-03]
Training: 56it [02:22,  2.58it/s, Loss=5.7751, Acc=0.0955, PPL=361.6, LR=1.00e-03]
Training: 56it [02:22,  2.58it/s, Loss=5.7647, Acc=0.0968, PPL=358.6, LR=1.00e-03]
Training: 63it [02:22,  3.68it/s, Loss=5.7647, Acc=0.0968, PPL=358.6, LR=1.00e-03]
Training: 63it [02:22,  3.68it/s, Loss=5.7535, Acc=0.0981, PPL=355.4, LR=1.00e-03]
Training: 63it [02:22,  3.68it/s, Loss=5.7445, Acc=0.0990, PPL=352.6, LR=1.00e-03]
Training: 63it [02:22,  3.68it/s, Loss=5.7362, Acc=0.0999, PPL=350.0, LR=1.00e-03]
Training: 63it [02:22,  3.68it/s, Loss=5.7279, Acc=0.1007, PPL=347.4, LR=1.00e-03]
Training: 63it [02:22,  3.68it/s, Loss=5.7175, Acc=0.1020, PPL=344.6, LR=1.00e-03]
Training: 63it [02:22,  3.68it/s, Loss=5.7081, Acc=0.1029, PPL=341.9, LR=1.00e-03]
Training: 63it [02:22,  3.68it/s, Loss=5.6973, Acc=0.1040, PPL=339.0, LR=1.00e-03]
Training: 70it [02:22,  5.18it/s, Loss=5.6973, Acc=0.1040, PPL=339.0, LR=1.00e-03]
Training: 70it [02:22,  5.18it/s, Loss=5.6866, Acc=0.1051, PPL=336.2, LR=1.00e-03]
Training: 70it [02:22,  5.18it/s, Loss=5.6737, Acc=0.1065, PPL=333.2, LR=1.00e-03]
Training: 70it [02:22,  5.18it/s, Loss=5.6632, Acc=0.1077, PPL=330.4, LR=1.00e-03]
Training: 70it [02:22,  5.18it/s, Loss=5.6540, Acc=0.1085, PPL=327.9, LR=1.00e-03]
Training: 70it [02:22,  5.18it/s, Loss=5.6451, Acc=0.1094, PPL=325.5, LR=1.00e-03]
Training: 70it [02:22,  5.18it/s, Loss=5.6357, Acc=0.1102, PPL=323.1, LR=1.00e-03]
Training: 70it [02:22,  5.18it/s, Loss=5.6242, Acc=0.1115, PPL=320.4, LR=1.00e-03]
Training: 77it [02:22,  7.20it/s, Loss=5.6242, Acc=0.1115, PPL=320.4, LR=1.00e-03]
Training: 77it [02:22,  7.20it/s, Loss=5.6153, Acc=0.1124, PPL=318.0, LR=1.00e-03]
Training: 77it [02:22,  7.20it/s, Loss=5.6050, Acc=0.1134, PPL=315.5, LR=1.00e-03]
Training: 77it [02:23,  7.20it/s, Loss=5.5951, Acc=0.1145, PPL=313.1, LR=1.00e-03]
Training: 77it [02:23,  7.20it/s, Loss=5.5862, Acc=0.1153, PPL=310.9, LR=1.00e-03]
Training: 77it [02:23,  7.20it/s, Loss=5.5775, Acc=0.1161, PPL=308.7, LR=1.00e-03]
Training: 77it [02:23,  7.20it/s, Loss=5.5677, Acc=0.1171, PPL=306.4, LR=1.00e-03]
Training: 77it [02:23,  7.20it/s, Loss=5.5593, Acc=0.1178, PPL=304.3, LR=1.00e-03]
Training: 84it [02:23,  9.84it/s, Loss=5.5593, Acc=0.1178, PPL=304.3, LR=1.00e-03]
Training: 84it [02:23,  9.84it/s, Loss=5.5482, Acc=0.1191, PPL=301.9, LR=1.00e-03]
Training: 84it [02:23,  9.84it/s, Loss=5.5390, Acc=0.1199, PPL=299.7, LR=1.00e-03]
Training: 84it [02:23,  9.84it/s, Loss=5.5294, Acc=0.1209, PPL=297.6, LR=1.00e-03]
Training: 84it [02:23,  9.84it/s, Loss=5.5191, Acc=0.1219, PPL=295.3, LR=1.00e-03]
Training: 84it [02:23,  9.84it/s, Loss=5.5111, Acc=0.1227, PPL=293.4, LR=1.00e-03]
Training: 84it [02:23,  9.84it/s, Loss=5.5019, Acc=0.1235, PPL=291.3, LR=1.00e-03]
Training: 84it [02:23,  9.84it/s, Loss=5.4941, Acc=0.1242, PPL=289.5, LR=1.00e-03]
Training: 91it [02:23, 13.20it/s, Loss=5.4941, Acc=0.1242, PPL=289.5, LR=1.00e-03]
Training: 91it [02:23, 13.20it/s, Loss=5.4856, Acc=0.1250, PPL=287.5, LR=1.00e-03]
Training: 91it [02:23, 13.20it/s, Loss=5.4773, Acc=0.1258, PPL=285.6, LR=1.00e-03]
Training: 91it [02:23, 13.20it/s, Loss=5.4684, Acc=0.1267, PPL=283.7, LR=1.00e-03]
Training: 91it [02:23, 13.20it/s, Loss=5.4597, Acc=0.1275, PPL=281.8, LR=1.00e-03]
Training: 91it [02:23, 13.20it/s, Loss=5.4520, Acc=0.1282, PPL=280.0, LR=1.00e-03]
Training: 91it [02:23, 13.20it/s, Loss=5.4437, Acc=0.1290, PPL=278.2, LR=1.00e-03]
Training: 91it [02:23, 13.20it/s, Loss=5.4350, Acc=0.1298, PPL=276.4, LR=1.00e-03]
Training: 98it [02:23, 17.32it/s, Loss=5.4350, Acc=0.1298, PPL=276.4, LR=1.00e-03]
Training: 98it [02:23, 17.32it/s, Loss=5.4269, Acc=0.1306, PPL=274.6, LR=1.00e-03]
Training: 98it [02:23, 17.32it/s, Loss=5.4181, Acc=0.1315, PPL=272.8, LR=1.00e-03]
Training: 98it [02:23, 17.32it/s, Loss=5.4105, Acc=0.1322, PPL=271.2, LR=1.00e-03]
Training: 98it [02:23, 17.32it/s, Loss=5.4032, Acc=0.1329, PPL=269.5, LR=1.00e-03]
Training: 98it [02:23, 17.32it/s, Loss=5.3937, Acc=0.1339, PPL=267.7, LR=1.00e-03]
Training: 98it [02:23, 17.32it/s, Loss=5.3862, Acc=0.1346, PPL=266.1, LR=1.00e-03]
Training: 98it [02:23, 17.32it/s, Loss=5.3785, Acc=0.1354, PPL=264.5, LR=1.00e-03]
Training: 105it [02:23, 22.11it/s, Loss=5.3785, Acc=0.1354, PPL=264.5, LR=1.00e-03]
Training: 105it [02:23, 22.11it/s, Loss=5.3697, Acc=0.1363, PPL=262.8, LR=1.00e-03]
Training: 105it [02:23, 22.11it/s, Loss=5.3608, Acc=0.1372, PPL=261.1, LR=1.00e-03]
Training: 105it [02:23, 22.11it/s, Loss=5.3528, Acc=0.1379, PPL=259.6, LR=1.00e-03]
Training: 105it [02:23, 22.11it/s, Loss=5.3450, Acc=0.1386, PPL=258.0, LR=1.00e-03]
Training: 105it [02:23, 22.11it/s, Loss=5.3356, Acc=0.1397, PPL=256.3, LR=1.00e-03]
Training: 105it [02:23, 22.11it/s, Loss=5.3276, Acc=0.1404, PPL=254.8, LR=1.00e-03]
Training: 105it [02:23, 22.11it/s, Loss=5.3207, Acc=0.1410, PPL=253.4, LR=1.00e-03]
Training: 112it [02:23, 27.34it/s, Loss=5.3207, Acc=0.1410, PPL=253.4, LR=1.00e-03]
Training: 112it [02:23, 27.34it/s, Loss=5.3114, Acc=0.1421, PPL=251.8, LR=1.00e-03]
