[2026-04-16T09:56:54.520733] Redirecting stdout/stderr to: logs/seq_512_batch_size_ablation/lstm_logs.txt
No tokenizer path provided, training will create a new tokenizer from the training text
Usage: python train_causal_ldru.py --tokenizer_path <path_to_tokenizer_file>
Example: python train_causal_ldru.py --tokenizer_path /path/to/your/tokenizer.model
Training with text file: ptb_train.txt
Using validation text file: ptb_val.txt
Using test text file for model testing: ptb_test.txt
Creating dataset from text file...
Using SPTokenizer for subword tokenization.
Tokenizer model will be saved to: tokenizers/ptb_tokenizer_vocab1000_seq512_for_lstm_seq512_model_lstm_seq2seq_silu_default_512_SP.model
Tokenizer vocab size: 1000
Creating training dataset from text file...
Loading text from: ptb_train.txt
Tokenizing text...
Total tokens: 1,735,164
Created 6,776 sequences of length 512
Each sequence: [context tokens (length 511)] -> [target token]
All sequences used for dataset: 6,776
\nSample sequence: 'ed to be a  ⁇ unk ⁇  the spokesman said pete and jeff and joe jr. have taken over the reins and are ...'
Creating validation dataset from text file...
Loading text from: ptb_val.txt
Tokenizing text...
Total tokens: 135,593
Created 528 sequences of length 512
Each sequence: [context tokens (length 511)] -> [target token]
All sequences used for dataset: 528
Validation sequences: 528
Creating test dataset from text file...
Loading text from: ptb_test.txt
Tokenizing text...
Total tokens: 154,133
Created 601 sequences of length 512
Each sequence: [context tokens (length 511)] -> [target token]
All sequences used for dataset: 601
Test sequences: 601
Created evaluation model with dropout disabled
Initializing model...
Checkpoints will be saved to: checkpoints
Model has 1,322,200 parameters
Initial learning rate: 1.00e-03
Starting training...

Epoch 1/100

Training: 0it [00:00, ?it/s]
Training: 0it [04:17, ?it/s, Loss=6.9172, Acc=0.0000, PPL=1009.5, LR=1.00e-03]
Training: 1it [04:17, 257.27s/it, Loss=6.9172, Acc=0.0000, PPL=1009.5, LR=1.00e-03]
Training: 1it [04:17, 257.27s/it, Loss=6.8678, Acc=0.0000, PPL=962.0, LR=1.00e-03] 
Training: 1it [04:17, 257.27s/it, Loss=6.8218, Acc=0.0208, PPL=920.3, LR=1.00e-03]
Training: 1it [04:17, 257.27s/it, Loss=6.7792, Acc=0.0625, PPL=883.7, LR=1.00e-03]
Training: 1it [04:17, 257.27s/it, Loss=6.7277, Acc=0.1000, PPL=842.9, LR=1.00e-03]
Training: 5it [04:17, 38.34s/it, Loss=6.7277, Acc=0.1000, PPL=842.9, LR=1.00e-03] 
Training: 5it [04:17, 38.34s/it, Loss=6.6668, Acc=0.1042, PPL=799.0, LR=1.00e-03]
Training: 5it [04:17, 38.34s/it, Loss=6.6023, Acc=0.1071, PPL=756.4, LR=1.00e-03]
Training: 5it [04:17, 38.34s/it, Loss=6.5017, Acc=0.1094, PPL=703.0, LR=1.00e-03]
Training: 5it [04:17, 38.34s/it, Loss=6.4326, Acc=0.1042, PPL=664.6, LR=1.00e-03]
Training: 9it [04:17, 17.32s/it, Loss=6.4326, Acc=0.1042, PPL=664.6, LR=1.00e-03]
Training: 9it [04:17, 17.32s/it, Loss=6.3678, Acc=0.1125, PPL=630.7, LR=1.00e-03]
Training: 9it [04:17, 17.32s/it, Loss=6.3135, Acc=0.1136, PPL=602.5, LR=1.00e-03]
Training: 9it [04:17, 17.32s/it, Loss=6.2574, Acc=0.1094, PPL=575.8, LR=1.00e-03]
Training: 9it [04:17, 17.32s/it, Loss=6.2087, Acc=0.1202, PPL=552.8, LR=1.00e-03]
Training: 13it [04:17,  9.72s/it, Loss=6.2087, Acc=0.1202, PPL=552.8, LR=1.00e-03]
Training: 13it [04:17,  9.72s/it, Loss=6.1470, Acc=0.1250, PPL=528.3, LR=1.00e-03]
Training: 13it [04:17,  9.72s/it, Loss=6.1061, Acc=0.1333, PPL=509.9, LR=1.00e-03]
Training: 13it [04:17,  9.72s/it, Loss=6.0700, Acc=0.1328, PPL=493.8, LR=1.00e-03]
Training: 13it [04:17,  9.72s/it, Loss=6.0305, Acc=0.1250, PPL=477.7, LR=1.00e-03]
Training: 17it [04:17,  5.98s/it, Loss=6.0305, Acc=0.1250, PPL=477.7, LR=1.00e-03]
Training: 17it [04:17,  5.98s/it, Loss=5.9936, Acc=0.1285, PPL=463.1, LR=1.00e-03]
Training: 17it [04:17,  5.98s/it, Loss=5.9662, Acc=0.1316, PPL=451.3, LR=1.00e-03]
Training: 17it [04:17,  5.98s/it, Loss=5.9390, Acc=0.1406, PPL=440.0, LR=1.00e-03]
Training: 17it [04:17,  5.98s/it, Loss=5.9053, Acc=0.1429, PPL=428.0, LR=1.00e-03]
Training: 21it [04:17,  3.87s/it, Loss=5.9053, Acc=0.1429, PPL=428.0, LR=1.00e-03]
Training: 21it [04:17,  3.87s/it, Loss=5.8815, Acc=0.1420, PPL=418.4, LR=1.00e-03]
Training: 21it [04:17,  3.87s/it, Loss=5.8661, Acc=0.1359, PPL=411.1, LR=1.00e-03]
Training: 21it [04:17,  3.87s/it, Loss=5.8458, Acc=0.1354, PPL=403.0, LR=1.00e-03]
Training: 21it [04:17,  3.87s/it, Loss=5.8234, Acc=0.1350, PPL=394.8, LR=1.00e-03]
Training: 25it [04:17,  2.58s/it, Loss=5.8234, Acc=0.1350, PPL=394.8, LR=1.00e-03]
Training: 25it [04:18,  2.58s/it, Loss=5.8079, Acc=0.1394, PPL=388.3, LR=1.00e-03]
Training: 25it [04:18,  2.58s/it, Loss=5.7913, Acc=0.1412, PPL=381.8, LR=1.00e-03]
Training: 25it [04:18,  2.58s/it, Loss=5.7747, Acc=0.1384, PPL=375.5, LR=1.00e-03]
Training: 25it [04:18,  2.58s/it, Loss=5.7581, Acc=0.1379, PPL=369.4, LR=1.00e-03]
Training: 29it [04:18,  1.75s/it, Loss=5.7581, Acc=0.1379, PPL=369.4, LR=1.00e-03]
Training: 29it [04:18,  1.75s/it, Loss=5.7384, Acc=0.1354, PPL=363.0, LR=1.00e-03]
Training: 29it [04:18,  1.75s/it, Loss=5.7268, Acc=0.1331, PPL=358.3, LR=1.00e-03]
Training: 29it [04:18,  1.75s/it, Loss=5.7145, Acc=0.1348, PPL=353.5, LR=1.00e-03]
Training: 29it [04:18,  1.75s/it, Loss=5.6978, Acc=0.1383, PPL=348.1, LR=1.00e-03]
Training: 33it [04:18,  1.20s/it, Loss=5.6978, Acc=0.1383, PPL=348.1, LR=1.00e-03]
Training: 33it [04:18,  1.20s/it, Loss=5.6846, Acc=0.1415, PPL=343.5, LR=1.00e-03]
Training: 33it [04:18,  1.20s/it, Loss=5.6713, Acc=0.1411, PPL=338.9, LR=1.00e-03]
Training: 33it [04:18,  1.20s/it, Loss=5.6635, Acc=0.1406, PPL=335.6, LR=1.00e-03]
Training: 33it [04:18,  1.20s/it, Loss=5.6546, Acc=0.1385, PPL=332.2, LR=1.00e-03]
Training: 37it [04:18,  1.19it/s, Loss=5.6546, Acc=0.1385, PPL=332.2, LR=1.00e-03]
Training: 37it [04:18,  1.19it/s, Loss=5.6453, Acc=0.1365, PPL=328.7, LR=1.00e-03]
Training: 37it [04:18,  1.19it/s, Loss=5.6333, Acc=0.1378, PPL=324.8, LR=1.00e-03]
Training: 37it [04:18,  1.19it/s, Loss=5.6222, Acc=0.1359, PPL=321.2, LR=1.00e-03]
Training: 37it [04:18,  1.19it/s, Loss=5.6104, Acc=0.1372, PPL=317.5, LR=1.00e-03]
Training: 41it [04:18,  1.70it/s, Loss=5.6104, Acc=0.1372, PPL=317.5, LR=1.00e-03]
Training: 41it [04:18,  1.70it/s, Loss=5.5999, Acc=0.1354, PPL=314.1, LR=1.00e-03]
Training: 41it [04:18,  1.70it/s, Loss=5.5902, Acc=0.1366, PPL=311.0, LR=1.00e-03]
Training: 41it [04:18,  1.70it/s, Loss=5.5842, Acc=0.1364, PPL=308.6, LR=1.00e-03]
Training: 41it [04:18,  1.70it/s, Loss=5.5735, Acc=0.1347, PPL=305.4, LR=1.00e-03]
Training: 45it [04:18,  2.39it/s, Loss=5.5735, Acc=0.1347, PPL=305.4, LR=1.00e-03]
Training: 45it [04:18,  2.39it/s, Loss=5.5678, Acc=0.1399, PPL=303.1, LR=1.00e-03]
Training: 45it [04:18,  2.39it/s, Loss=5.5577, Acc=0.1396, PPL=300.1, LR=1.00e-03]
Training: 45it [04:18,  2.39it/s, Loss=5.5500, Acc=0.1419, PPL=297.6, LR=1.00e-03]
Training: 45it [04:18,  2.39it/s, Loss=5.5421, Acc=0.1416, PPL=295.1, LR=1.00e-03]
Training: 49it [04:18,  3.34it/s, Loss=5.5421, Acc=0.1416, PPL=295.1, LR=1.00e-03]
Training: 49it [04:18,  3.34it/s, Loss=5.5348, Acc=0.1400, PPL=292.8, LR=1.00e-03]
Training: 49it [04:18,  3.34it/s, Loss=5.5284, Acc=0.1397, PPL=290.6, LR=1.00e-03]
Training: 49it [04:18,  3.34it/s, Loss=5.5196, Acc=0.1394, PPL=288.1, LR=1.00e-03]
Training: 49it [04:18,  3.34it/s, Loss=5.5095, Acc=0.1403, PPL=285.4, LR=1.00e-03]
Training: 53it [04:18,  4.59it/s, Loss=5.5095, Acc=0.1403, PPL=285.4, LR=1.00e-03]
Training: 53it [04:18,  4.59it/s, Loss=5.5037, Acc=0.1412, PPL=283.4, LR=1.00e-03]
Training: 53it [04:18,  4.59it/s, Loss=5.4976, Acc=0.1455, PPL=281.5, LR=1.00e-03]
Training: 53it [04:18,  4.59it/s, Loss=5.4917, Acc=0.1462, PPL=279.6, LR=1.00e-03]
Training: 53it [04:18,  4.59it/s, Loss=5.4883, Acc=0.1458, PPL=278.2, LR=1.00e-03]
Training: 57it [04:18,  6.21it/s, Loss=5.4883, Acc=0.1458, PPL=278.2, LR=1.00e-03]
Training: 57it [04:18,  6.21it/s, Loss=5.4844, Acc=0.1455, PPL=276.7, LR=1.00e-03]
Training: 57it [04:18,  6.21it/s, Loss=5.4788, Acc=0.1451, PPL=275.0, LR=1.00e-03]
Training: 57it [04:19,  6.21it/s, Loss=5.4716, Acc=0.1479, PPL=273.0, LR=1.00e-03]
Training: 57it [04:19,  6.21it/s, Loss=5.4659, Acc=0.1486, PPL=271.3, LR=1.00e-03]
Training: 61it [04:19,  8.25it/s, Loss=5.4659, Acc=0.1486, PPL=271.3, LR=1.00e-03]
Training: 61it [04:19,  8.25it/s, Loss=5.4577, Acc=0.1502, PPL=269.2, LR=1.00e-03]
Training: 61it [04:19,  8.25it/s, Loss=5.4516, Acc=0.1488, PPL=267.4, LR=1.00e-03]
Training: 61it [04:19,  8.25it/s, Loss=5.4475, Acc=0.1494, PPL=266.1, LR=1.00e-03]
Training: 61it [04:19,  8.25it/s, Loss=5.4397, Acc=0.1490, PPL=264.1, LR=1.00e-03]
Training: 65it [04:19, 10.68it/s, Loss=5.4397, Acc=0.1490, PPL=264.1, LR=1.00e-03]
Training: 65it [04:19, 10.68it/s, Loss=5.4328, Acc=0.1496, PPL=262.3, LR=1.00e-03]
Training: 65it [04:19, 10.68it/s, Loss=5.4255, Acc=0.1511, PPL=260.5, LR=1.00e-03]
Training: 65it [04:19, 10.68it/s, Loss=5.4203, Acc=0.1498, PPL=259.0, LR=1.00e-03]
Training: 65it [04:19, 10.68it/s, Loss=5.4144, Acc=0.1504, PPL=257.5, LR=1.00e-03]
Training: 69it [04:19, 13.47it/s, Loss=5.4144, Acc=0.1504, PPL=257.5, LR=1.00e-03]
Training: 69it [04:19, 13.47it/s, Loss=5.4056, Acc=0.1500, PPL=255.5, LR=1.00e-03]
Training: 69it [04:19, 13.47it/s, Loss=5.4008, Acc=0.1505, PPL=254.1, LR=1.00e-03]
Training: 69it [04:19, 13.47it/s, Loss=5.3959, Acc=0.1502, PPL=252.8, LR=1.00e-03]
Training: 69it [04:19, 13.47it/s, Loss=5.3909, Acc=0.1498, PPL=251.4, LR=1.00e-03]
Training: 73it [04:19, 16.45it/s, Loss=5.3909, Acc=0.1498, PPL=251.4, LR=1.00e-03]
Training: 73it [04:19, 16.45it/s, Loss=5.3817, Acc=0.1512, PPL=249.5, LR=1.00e-03]
Training: 73it [04:19, 16.45it/s, Loss=5.3743, Acc=0.1550, PPL=247.8, LR=1.00e-03]
Training: 73it [04:19, 16.45it/s, Loss=5.3671, Acc=0.1562, PPL=246.2, LR=1.00e-03]
Training: 73it [04:19, 16.45it/s, Loss=5.3622, Acc=0.1558, PPL=244.9, LR=1.00e-03]
Training: 77it [04:19, 19.54it/s, Loss=5.3622, Acc=0.1558, PPL=244.9, LR=1.00e-03]
Training: 77it [04:19, 19.54it/s, Loss=5.3573, Acc=0.1546, PPL=243.7, LR=1.00e-03]
Training: 77it [04:19, 19.54it/s, Loss=5.3519, Acc=0.1551, PPL=242.3, LR=1.00e-03]
Training: 77it [04:19, 19.54it/s, Loss=5.3473, Acc=0.1570, PPL=241.1, LR=1.00e-03]
Training: 77it [04:19, 19.54it/s, Loss=5.3427, Acc=0.1566, PPL=239.9, LR=1.00e-03]
Training: 81it [04:19, 22.47it/s, Loss=5.3427, Acc=0.1566, PPL=239.9, LR=1.00e-03]
